O*NET-SOC Code,Occupation,soc2019_code,soc2010_code,soc2010_6,isco08_code,isco08_title,4-digit code,Exposure,Mean
39-1022.00,First-Line Supervisors of Personal Service Workers,39-1022.00,39-1021.00,39-1021,5311,Child care workers,5311,Not Exposed,0.19
39-1022.00,First-Line Supervisors of Personal Service Workers,39-1022.00,39-1021.00,39-1021,5322,Home-based personal care workers,5322,Minimal Exposure,0.25
39-2011.00,Animal Trainers,39-2011.00,39-2011.00,39-2011,5164,Pet groomers and animal care workers,5164,Not Exposed,0.14
39-2021.00,Animal Caretakers,39-2021.00,39-2021.00,39-2021,5164,Pet groomers and animal care workers,5164,Not Exposed,0.14
39-3011.00,Gambling Dealers,39-3011.00,39-3011.00,39-3011,4212,"Bookmakers, croupiers and related gaming workers",4212,Gradient 2,0.45
39-3012.00,Gambling and Sports Book Writers and Runners,39-3012.00,39-3012.00,39-3012,4212,"Bookmakers, croupiers and related gaming workers",4212,Gradient 2,0.45
39-3019.00,"Gambling Service Workers, All Other",39-3019.00,39-3019.00,39-3019,4212,"Bookmakers, croupiers and related gaming workers",4212,Gradient 2,0.45
39-3021.00,Motion Picture Projectionists,39-3021.00,39-3021.00,39-3021,9629,Elementary workers not elsewhere classified,9629,Minimal Exposure,0.29
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00,39-3031.00,39-3031,9629,Elementary workers not elsewhere classified,9629,Minimal Exposure,0.29
39-3091.00,Amusement and Recreation Attendants,39-3091.00,39-3091.00,39-3091,8343,"Crane, hoist and related plant operators",8343,Not Exposed,0.18
39-3091.00,Amusement and Recreation Attendants,39-3091.00,39-3091.00,39-3091,9629,Elementary workers not elsewhere classified,9629,Minimal Exposure,0.29
39-3092.00,Costume Attendants,39-3092.00,39-3092.00,39-3092,3435,Other artistic and cultural associate professionals,,,
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00,39-3093.00,39-3093,9629,Elementary workers not elsewhere classified,9629,Minimal Exposure,0.29
39-3099.00,"Entertainment Attendants and Related Workers, All Other",39-3099.00,39-3099.00,39-3099,3435,Other artistic and cultural associate professionals,,,
39-4011.00,Embalmers,39-4011.00,39-4011.00,39-4011,5163,Undertakers and embalmers,5163,Not Exposed,0.17
39-4012.00,Crematory Operators,39-4012.00,39-9099.00,39-9099,5162,Companions and valets,5162,Not Exposed,0.22
39-4012.00,Crematory Operators,39-4012.00,39-9099.00,39-9099,5169,Personal services workers not elsewhere classified,5169,Not Exposed,0.21
39-4012.00,Crematory Operators,39-4012.00,39-9099.00,39-9099,9510,Street and related service workers,9510,Not Exposed,0.18
39-4012.00,Crematory Operators,39-4012.00,39-9099.00,39-9099,5152,Domestic housekeepers,5152,Not Exposed,0.2
39-4021.00,Funeral Attendants,39-4021.00,39-4021.00,39-4021,5163,Undertakers and embalmers,5163,Not Exposed,0.17
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",39-4031.00,39-4031.00,39-4031,5163,Undertakers and embalmers,5163,Not Exposed,0.17
39-5011.00,Barbers,39-5011.00,39-5011.00,39-5011,5141,Hairdressers,5141,Not Exposed,0.17
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00,39-5012.00,39-5012,5141,Hairdressers,5141,Not Exposed,0.17
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00,39-5012.00,39-5012,5142,Beauticians and related workers,5142,Not Exposed,0.18
39-5091.00,"Makeup Artists, Theatrical and Performance",39-5091.00,39-5091.00,39-5091,5142,Beauticians and related workers,5142,Not Exposed,0.18
39-5092.00,Manicurists and Pedicurists,39-5092.00,39-5092.00,39-5092,5142,Beauticians and related workers,5142,Not Exposed,0.18
39-5093.00,Shampooers,39-5093.00,39-5093.00,39-5093,5142,Beauticians and related workers,5142,Not Exposed,0.18
39-5094.00,Skincare Specialists,39-5094.00,39-5094.00,39-5094,5142,Beauticians and related workers,5142,Not Exposed,0.18
39-6011.00,Baggage Porters and Bellhops,39-6011.00,39-6011.00,39-6011,9621,"Messengers, package deliverers and luggage porters",9621,Gradient 1,0.37
39-6012.00,Concierges,39-6012.00,39-6012.00,39-6012,4224,Hotel receptionists,4224,Gradient 3,0.51
39-7011.00,Tour Guides and Escorts,39-7011.00,39-7011.00,39-7011,5113,Travel guides,5113,Minimal Exposure,0.32
39-7012.00,Travel Guides,39-7012.00,39-7012.00,39-7012,5113,Travel guides,5113,Minimal Exposure,0.32
39-9011.00,Childcare Workers,39-9011.00,39-9011.00,39-9011,5311,Child care workers,5311,Not Exposed,0.19
39-9011.01,Nannies,39-9011.01,39-9011.01,39-9011,5311,Child care workers,5311,Not Exposed,0.19
39-9031.00,Exercise Trainers and Group Fitness Instructors,39-9031.00,39-9031.00,39-9031,3423,Fitness and recreation instructors and program leaders,3423,Not Exposed,0.25
39-9032.00,Recreation Workers,39-9032.00,39-9032.00,39-9032,5169,Personal services workers not elsewhere classified,5169,Not Exposed,0.21
39-9041.00,Residential Advisors,39-9041.00,39-9041.00,39-9041,5169,Personal services workers not elsewhere classified,5169,Not Exposed,0.21
39-9099.00,"Personal Care and Service Workers, All Other",39-9099.00,39-9099.00,39-9099,5162,Companions and valets,5162,Not Exposed,0.22
39-9099.00,"Personal Care and Service Workers, All Other",39-9099.00,39-9099.00,39-9099,5169,Personal services workers not elsewhere classified,5169,Not Exposed,0.21
39-9099.00,"Personal Care and Service Workers, All Other",39-9099.00,39-9099.00,39-9099,9510,Street and related service workers,9510,Not Exposed,0.18
39-9099.00,"Personal Care and Service Workers, All Other",39-9099.00,39-9099.00,39-9099,5152,Domestic housekeepers,5152,Not Exposed,0.2
41-1011.00,First-Line Supervisors of Retail Sales Workers,41-1011.00,41-1011.00,41-1011,5222,Shop supervisors,5222,Minimal Exposure,0.36
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,2433,Technical and medical sales professionals (excluding ICT),2433,Gradient 3,0.5
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,2434,Information and communications technology sales professionals,2434,Gradient 3,0.51
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,3311,Securities and finance dealers and brokers,3311,Gradient 4,0.63
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,3321,Insurance representatives,3321,Gradient 3,0.53
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,3322,Commercial sales representatives,3322,Gradient 2,0.49
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,3324,Trade brokers,3324,Gradient 2,0.44
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,3334,Real estate agents and property managers,3334,Minimal Exposure,0.35
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,3339,Business services agents not elsewhere classified,3339,Gradient 2,0.44
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,41-1012.00,41-1012,4221,Travel consultants and clerks,4221,Gradient 3,0.56
41-2011.00,Cashiers,41-2011.00,41-2011.00,41-2011,5230,Cashiers and ticket clerks,5230,Gradient 1,0.39
41-2012.00,Gambling Change Persons and Booth Cashiers,41-2012.00,41-2012.00,41-2012,5230,Cashiers and ticket clerks,5230,Gradient 1,0.39
41-2021.00,Counter and Rental Clerks,41-2021.00,41-2021.00,41-2021,5249,Sales workers not elsewhere classified,,,
41-2022.00,Parts Salespersons,41-2022.00,41-2022.00,41-2022,5223,Shop sales assistants,5223,Gradient 1,0.38
41-2031.00,Retail Salespersons,41-2031.00,41-2031.00,41-2031,5223,Shop sales assistants,5223,Gradient 1,0.38
41-3011.00,Advertising Sales Agents,41-3011.00,41-3011.00,41-3011,3339,Business services agents not elsewhere classified,3339,Gradient 2,0.44
41-3021.00,Insurance Sales Agents,41-3021.00,41-3021.00,41-3021,3321,Insurance representatives,3321,Gradient 3,0.53
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.00,41-3031,3311,Securities and finance dealers and brokers,3311,Gradient 4,0.63
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.00,41-3031,3324,Trade brokers,3324,Gradient 2,0.44
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.01,41-3031,3311,Securities and finance dealers and brokers,3311,Gradient 4,0.63
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.01,41-3031,3324,Trade brokers,3324,Gradient 2,0.44
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.02,41-3031,3311,Securities and finance dealers and brokers,3311,Gradient 4,0.63
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.02,41-3031,3324,Trade brokers,3324,Gradient 2,0.44
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.03,41-3031,3311,Securities and finance dealers and brokers,3311,Gradient 4,0.63
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3031.03,41-3031,3324,Trade brokers,3324,Gradient 2,0.44
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,41-3099.01,41-3099,3322,Commercial sales representatives,3322,Gradient 2,0.49
41-3041.00,Travel Agents,41-3041.00,41-3041.00,41-3041,3339,Business services agents not elsewhere classified,3339,Gradient 2,0.44
41-3041.00,Travel Agents,41-3041.00,41-3041.00,41-3041,4221,Travel consultants and clerks,4221,Gradient 3,0.56
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091.00,41-3099.00,41-3099,3322,Commercial sales representatives,3322,Gradient 2,0.49
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,41-4011.00,41-4011,2433,Technical and medical sales professionals (excluding ICT),2433,Gradient 3,0.5
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,41-4011.00,41-4011,2434,Information and communications technology sales professionals,2434,Gradient 3,0.51
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,41-4011.00,41-4011,3322,Commercial sales representatives,3322,Gradient 2,0.49
41-4011.07,Solar Sales Representatives and Assessors,41-4011.07,41-4011.07,41-4011,2433,Technical and medical sales professionals (excluding ICT),2433,Gradient 3,0.5
41-4011.07,Solar Sales Representatives and Assessors,41-4011.07,41-4011.07,41-4011,2434,Information and communications technology sales professionals,2434,Gradient 3,0.51
41-4011.07,Solar Sales Representatives and Assessors,41-4011.07,41-4011.07,41-4011,3322,Commercial sales representatives,3322,Gradient 2,0.49
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,41-4012.00,41-4012,3322,Commercial sales representatives,3322,Gradient 2,0.49
41-9011.00,Demonstrators and Product Promoters,41-9011.00,41-9011.00,41-9011,5242,Sales demonstrators,5242,Gradient 2,0.42
41-9012.00,Models,41-9012.00,41-9012.00,41-9012,5241,Fashion and other models,5241,Not Exposed,0.25
41-9021.00,Real Estate Brokers,41-9021.00,41-9021.00,41-9021,3334,Real estate agents and property managers,3334,Minimal Exposure,0.35
41-9022.00,Real Estate Sales Agents,41-9022.00,41-9022.00,41-9022,3334,Real estate agents and property managers,3334,Minimal Exposure,0.35
41-9031.00,Sales Engineers,41-9031.00,41-9031.00,41-9031,2434,Information and communications technology sales professionals,2434,Gradient 3,0.51
41-9041.00,Telemarketers,41-9041.00,41-9041.00,41-9041,5244,Contact centre salespersons,5244,Gradient 4,0.61
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,41-9091.00,41-9091,5211,Stall and market salespersons,5211,Gradient 1,0.35
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,41-9091.00,41-9091,5212,Street food salespersons,5212,Not Exposed,0.22
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,41-9091.00,41-9091,5243,Door to door salespersons,5243,Gradient 2,0.46
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,41-9091.00,41-9091,9520,Street vendors (excluding food),9520,Not Exposed,0.2
41-9099.00,"Sales and Related Workers, All Other",41-9099.00,41-9099.00,41-9099,3339,Business services agents not elsewhere classified,3339,Gradient 2,0.44
41-9099.00,"Sales and Related Workers, All Other",41-9099.00,41-9099.00,41-9099,4213,Pawnbrokers and money-lenders,4213,Gradient 2,0.48
41-9099.00,"Sales and Related Workers, All Other",41-9099.00,41-9099.00,41-9099,5249,Sales workers not elsewhere classified,,,
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,43-1011.00,43-1011,3341,Office supervisors,3341,Gradient 2,0.43
43-2011.00,"Switchboard Operators, Including Answering Service",43-2011.00,43-2011.00,43-2011,4223,Telephone switchboard operators,4223,Gradient 3,0.54
43-2021.00,Telephone Operators,43-2021.00,43-2021.00,43-2021,4223,Telephone switchboard operators,4223,Gradient 3,0.54
43-2099.00,"Communications Equipment Operators, All Other",43-2099.00,27-4013.00,27-4013,3521,Broadcasting and audio-visual technicians,3521,Minimal Exposure,0.35
43-2099.00,"Communications Equipment Operators, All Other",43-2099.00,43-2099.00,43-2099,4229,Client information workers not elsewhere classified,4229,Gradient 2,0.42
43-3011.00,Bill and Account Collectors,43-3011.00,43-3011.00,43-3011,4214,Debt-collectors and related workers,4214,Gradient 2,0.43
43-3021.00,Billing and Posting Clerks,43-3021.00,43-3021.00,43-3021,4311,Accounting and bookkeeping clerks,4311,Gradient 4,0.64
43-3021.00,Billing and Posting Clerks,43-3021.00,43-3021.01,43-3021,4311,Accounting and bookkeeping clerks,4311,Gradient 4,0.64
43-3021.00,Billing and Posting Clerks,43-3021.00,43-3021.02,43-3021,4311,Accounting and bookkeeping clerks,4311,Gradient 4,0.64
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,43-3031.00,43-3031,3313,Accounting associate professionals,3313,Gradient 2,0.49
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,43-3031.00,43-3031,4311,Accounting and bookkeeping clerks,4311,Gradient 4,0.64
43-3041.00,Gambling Cage Workers,43-3041.00,43-3041.00,43-3041,4212,"Bookmakers, croupiers and related gaming workers",4212,Gradient 2,0.45
43-3051.00,Payroll and Timekeeping Clerks,43-3051.00,43-3051.00,43-3051,4313,Payroll clerks,4313,Gradient 4,0.61
43-3061.00,Procurement Clerks,43-3061.00,43-3061.00,43-3061,4110,General office clerks,4110,Gradient 4,0.6
43-3071.00,Tellers,43-3071.00,43-3071.00,43-3071,4211,Bank tellers and related clerks,4211,Gradient 3,0.58
43-3099.00,"Financial Clerks, All Other",43-3099.00,43-3099.00,43-3099,4213,Pawnbrokers and money-lenders,4213,Gradient 2,0.48
43-3099.00,"Financial Clerks, All Other",43-3099.00,43-3099.00,43-3099,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-4011.00,Brokerage Clerks,43-4011.00,43-4011.00,43-4011,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-4021.00,Correspondence Clerks,43-4021.00,43-4021.00,43-4021,4225,Enquiry clerks,4225,Gradient 3,0.57
43-4021.00,Correspondence Clerks,43-4021.00,43-4021.00,43-4021,4419,Clerical support workers not elsewhere classified,4419,Gradient 4,0.63
43-4031.00,"Court, Municipal, and License Clerks",43-4031.00,43-4031.00,43-4031,3354,Government licensing officials,3354,Gradient 2,0.43
43-4031.00,"Court, Municipal, and License Clerks",43-4031.00,43-4031.01,43-4031,3354,Government licensing officials,3354,Gradient 2,0.43
43-4031.00,"Court, Municipal, and License Clerks",43-4031.00,43-4031.02,43-4031,3354,Government licensing officials,3354,Gradient 2,0.43
43-4031.00,"Court, Municipal, and License Clerks",43-4031.00,43-4031.03,43-4031,3354,Government licensing officials,3354,Gradient 2,0.43
43-4041.00,"Credit Authorizers, Checkers, and Clerks",43-4041.00,43-4041.00,43-4041,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-4041.00,"Credit Authorizers, Checkers, and Clerks",43-4041.00,43-4041.01,43-4041,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-4041.00,"Credit Authorizers, Checkers, and Clerks",43-4041.00,43-4041.02,43-4041,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-4051.00,Customer Service Representatives,43-4051.00,43-4051.00,43-4051,4222,Contact centre information clerks,4222,Gradient 3,0.58
43-4061.00,"Eligibility Interviewers, Government Programs",43-4061.00,43-4061.00,43-4061,3353,Government social benefits officials,3353,Gradient 2,0.45
43-4061.00,"Eligibility Interviewers, Government Programs",43-4061.00,43-4061.00,43-4061,4229,Client information workers not elsewhere classified,4229,Gradient 2,0.42
43-4071.00,File Clerks,43-4071.00,43-4071.00,43-4071,4415,Filing and copying clerks,4415,Gradient 1,0.37
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",43-4081.00,43-4081.00,43-4081,4224,Hotel receptionists,4224,Gradient 3,0.51
43-4111.00,"Interviewers, Except Eligibility and Loan",43-4111.00,43-4111.00,43-4111,4227,Survey and market research interviewers,4227,Gradient 3,0.55
43-4121.00,"Library Assistants, Clerical",43-4121.00,43-4121.00,43-4121,4411,Library clerks,4411,Gradient 2,0.46
43-4131.00,Loan Interviewers and Clerks,43-4131.00,43-4131.00,43-4131,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-4141.00,New Accounts Clerks,43-4141.00,43-4141.00,43-4141,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-4151.00,Order Clerks,43-4151.00,43-4151.00,43-4151,4419,Clerical support workers not elsewhere classified,4419,Gradient 4,0.63
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161.00,43-4161.00,43-4161,4416,Personnel clerks,4416,Gradient 4,0.6
43-4171.00,Receptionists and Information Clerks,43-4171.00,43-4171.00,43-4171,4225,Enquiry clerks,4225,Gradient 3,0.57
43-4171.00,Receptionists and Information Clerks,43-4171.00,43-4171.00,43-4171,4226,Receptionists (general),4226,Gradient 3,0.57
43-4171.00,Receptionists and Information Clerks,43-4171.00,43-4171.00,43-4171,4222,Contact centre information clerks,4222,Gradient 3,0.58
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,43-4181.00,43-4181,4221,Travel consultants and clerks,4221,Gradient 3,0.56
43-4199.00,"Information and Record Clerks, All Other",43-4199.00,43-4199.00,43-4199,4229,Client information workers not elsewhere classified,4229,Gradient 2,0.42
43-4199.00,"Information and Record Clerks, All Other",43-4199.00,43-4199.00,43-4199,4419,Clerical support workers not elsewhere classified,4419,Gradient 4,0.63
43-5011.00,Cargo and Freight Agents,43-5011.00,43-5011.00,43-5011,3324,Trade brokers,3324,Gradient 2,0.44
43-5011.00,Cargo and Freight Agents,43-5011.00,43-5011.00,43-5011,3331,Clearing and forwarding agents,3331,Gradient 3,0.57
43-5011.01,Freight Forwarders,43-5011.01,43-5011.01,43-5011,3324,Trade brokers,3324,Gradient 2,0.44
43-5011.01,Freight Forwarders,43-5011.01,43-5011.01,43-5011,3331,Clearing and forwarding agents,3331,Gradient 3,0.57
43-5021.00,Couriers and Messengers,43-5021.00,43-5021.00,43-5021,4412,Mail carriers and sorting clerks,4412,Gradient 2,0.41
43-5021.00,Couriers and Messengers,43-5021.00,43-5021.00,43-5021,8321,Motorcycle drivers,8321,Minimal Exposure,0.25
43-5021.00,Couriers and Messengers,43-5021.00,43-5021.00,43-5021,9331,Hand and pedal vehicle drivers,9331,Not Exposed,0.21
43-5021.00,Couriers and Messengers,43-5021.00,43-5021.00,43-5021,9621,"Messengers, package deliverers and luggage porters",9621,Gradient 1,0.37
43-5031.00,Public Safety Telecommunicators,43-5031.00,43-5031.00,43-5031,5419,Protective services workers not elsewhere classified,5419,Not Exposed,0.2
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",43-5032.00,43-5032.00,43-5032,4323,Transport clerks,4323,Gradient 3,0.5
43-5041.00,"Meter Readers, Utilities",43-5041.00,43-5041.00,43-5041,9623,Meter readers and vending-machine collectors,9623,Gradient 1,0.38
43-5051.00,Postal Service Clerks,43-5051.00,43-5051.00,43-5051,4412,Mail carriers and sorting clerks,4412,Gradient 2,0.41
43-5051.00,Postal Service Clerks,43-5051.00,43-5051.00,43-5051,4211,Bank tellers and related clerks,4211,Gradient 3,0.58
43-5052.00,Postal Service Mail Carriers,43-5052.00,43-5052.00,43-5052,4412,Mail carriers and sorting clerks,4412,Gradient 2,0.41
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00,43-5053.00,43-5053,4412,Mail carriers and sorting clerks,4412,Gradient 2,0.41
43-5061.00,"Production, Planning, and Expediting Clerks",43-5061.00,43-5061.00,43-5061,4322,Production clerks,4322,Gradient 2,0.44
43-5071.00,"Shipping, Receiving, and Inventory Clerks",43-5071.00,43-5071.00,43-5071,3331,Clearing and forwarding agents,3331,Gradient 3,0.57
43-5071.00,"Shipping, Receiving, and Inventory Clerks",43-5071.00,43-5071.00,43-5071,4321,Stock clerks,4321,Minimal Exposure,0.37
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00,43-5111.00,43-5111,4321,Stock clerks,4321,Minimal Exposure,0.37
43-6011.00,Executive Secretaries and Executive Administrative Assistants,43-6011.00,43-6011.00,43-6011,3343,Administrative and executive secretaries,3343,Gradient 3,0.54
43-6012.00,Legal Secretaries and Administrative Assistants,43-6012.00,43-6012.00,43-6012,3342,Legal secretaries,3342,Gradient 3,0.55
43-6013.00,Medical Secretaries and Administrative Assistants,43-6013.00,43-6013.00,43-6013,3344,Medical secretaries,3344,Gradient 3,0.53
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,43-6014.00,43-6014,4120,Secretaries (general),4120,Gradient 3,0.58
43-9021.00,Data Entry Keyers,43-9021.00,43-9021.00,43-9021,4132,Data entry clerks,4132,Gradient 4,0.7
43-9022.00,Word Processors and Typists,43-9022.00,43-9022.00,43-9022,4131,Typists and word processing operators,4131,Gradient 4,0.65
43-9031.00,Desktop Publishers,43-9031.00,43-9031.00,43-9031,7321,Pre-press technicians,7321,Gradient 1,0.38
43-9041.00,Insurance Claims and Policy Processing Clerks,43-9041.00,43-9041.00,43-9041,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-9041.00,Insurance Claims and Policy Processing Clerks,43-9041.00,43-9041.01,43-9041,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-9041.00,Insurance Claims and Policy Processing Clerks,43-9041.00,43-9041.02,43-9041,4312,"Statistical, finance and insurance clerks",4312,Gradient 4,0.64
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,43-9051.00,43-9051,4412,Mail carriers and sorting clerks,4412,Gradient 2,0.41
43-9061.00,"Office Clerks, General",43-9061.00,43-9061.00,43-9061,4110,General office clerks,4110,Gradient 4,0.6
43-9071.00,"Office Machine Operators, Except Computer",43-9071.00,43-9071.00,43-9071,4415,Filing and copying clerks,4415,Gradient 1,0.37
43-9081.00,Proofreaders and Copy Markers,43-9081.00,43-9081.00,43-9081,4413,"Coding, proof-reading and related clerks",4413,Gradient 3,0.51
43-9111.00,Statistical Assistants,43-9111.00,43-9111.00,43-9111,3314,"Statistical, mathematical and related associate professionals",3314,Gradient 3,0.57
43-9199.00,"Office and Administrative Support Workers, All Other",43-9199.00,43-9199.00,43-9199,4419,Clerical support workers not elsewhere classified,4419,Gradient 4,0.63
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6111,Field crop and vegetable growers,6111,Not Exposed,0.18
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6112,Tree and shrub crop growers,6112,Not Exposed,0.17
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6114,Mixed crop growers,6114,Not Exposed,0.17
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6121,Livestock and dairy producers,6121,Not Exposed,0.17
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6122,Poultry producers,6122,Not Exposed,0.19
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6123,Apiarists and sericulturists,6123,Not Exposed,0.22
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6129,Animal producers not elsewhere classified,6129,Not Exposed,0.2
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6130,Mixed crop and animal producers,6130,Not Exposed,0.19
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6210,Forestry and related workers,6210,Not Exposed,0.12
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6221,Aquaculture workers,6221,Not Exposed,0.22
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6222,Inland and coastal waters fishery workers,6222,Not Exposed,0.17
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6223,Deep-sea fishery workers,6223,Not Exposed,0.18
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.00,45-1011,6224,Hunters and trappers,6224,Not Exposed,0.09
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6111,Field crop and vegetable growers,6111,Not Exposed,0.18
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6112,Tree and shrub crop growers,6112,Not Exposed,0.17
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6114,Mixed crop growers,6114,Not Exposed,0.17
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6121,Livestock and dairy producers,6121,Not Exposed,0.17
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6122,Poultry producers,6122,Not Exposed,0.19
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6123,Apiarists and sericulturists,6123,Not Exposed,0.22
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6129,Animal producers not elsewhere classified,6129,Not Exposed,0.2
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6130,Mixed crop and animal producers,6130,Not Exposed,0.19
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6210,Forestry and related workers,6210,Not Exposed,0.12
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,45-1011.05,45-1011,6221,Aquaculture workers,6221,Not Exposed,0.22
