O*NET-SOC Code,Occupation,Summary,Final_ExposureScore
31-1121.00,Home Health Aides,"Individuals in this role monitor patient health, observing vital signs like pulse and respiration, and administer prescribed medications or treatments. They assist with daily living activities, including bathing, dressing, grooming, and ambulation, ensuring patient comfort and hygiene. Responsibilities also extend to meal preparation, light housekeeping, and laundry to support the patient's environment. They maintain detailed records of patient care and progress, communicating observations to supervisors or case managers. This role involves providing emotional support, engaging in conversation to maintain mental alertness, and instructing patients and their families on care techniques or adapting to specific health conditions. They may also guide patients through prescribed exercises or errands.",0.25
31-1122.00,Personal Care Aides,"Individuals in this role provide essential support by assisting care recipients with daily living activities, including personal hygiene, feeding, and mobility. They also manage household tasks like meal preparation, light cleaning, and laundry, ensuring a comfortable and safe environment. Responsibilities include observing and documenting client progress, reporting any significant changes to supervisors. They collaborate with care teams during reviews to assess needs and plan ongoing services. Communication assistance, instruction on various life skills, and providing companionship are also key duties. They administer basic health-related tasks under supervision and help individuals adapt to new lifestyles during challenging periods.",0.35
31-1131.00,Nursing Assistants,"Individuals in this role provide essential support for patient well-being under the supervision of licensed nursing staff. They actively monitor patients' health status, noting and reporting any changes or symptoms to medical professionals. Daily responsibilities include assisting patients with personal care, such as bathing, dressing, and feeding, as well as helping with mobility and ambulation. They are responsible for maintaining a clean and sanitary patient environment, changing linens, and managing patient supplies. Additionally, they communicate with patients to offer support and ensure their needs are met, respond to call signals, and document vital signs and fluid intake or output. They may also assist with preparing food trays and transporting patients.",0.14
31-1132.00,Orderlies,"Individuals in this role focus on patient mobility and environmental support. They assist in safely moving patients between locations using specialized equipment, ensuring patients reach appointments for treatments or procedures. Daily tasks include managing and cleaning patient care equipment, maintaining sanitation standards through disinfection, and ensuring necessary supplies and equipment are available and transported where needed. They respond to urgent situations, such as medical or safety alerts, and contribute to a clean and organized environment by managing linens and equipment. This involves careful handling of patient needs and coordinating movement efficiently.",0.15
31-1133.00,Psychiatric Aides,"Individuals in this role provide direct care and support to patients experiencing emotional or mental health challenges. They closely monitor patient behavior, reporting any concerns to the nursing and medical staff. A significant part of their day involves assisting patients with essential daily living activities, such as bathing and dressing, and ensuring they adhere to routines. They also facilitate patient engagement by organizing and leading educational, recreational, or social activities. This involves observing, listening, and offering emotional support, as well as maintaining a safe and orderly environment. They meticulously document patient information, vital signs, and progress. In situations requiring immediate intervention, they may need to physically assist or restrain patients to ensure safety.",0.14
31-2011.00,Occupational Therapy Assistants,"Individuals in this role implement treatment plans under the direction of occupational therapists to help patients regain or enhance daily living skills. They select and adapt therapeutic activities based on individual needs and capabilities, providing instruction and encouragement during sessions. This involves close observation, monitoring patient progress, and documenting their performance, attitudes, and behaviors. They collaborate with patients, families, and other healthcare professionals, communicating observations and updating care plans as needed. Additionally, they may prepare and maintain therapy equipment, assist patients with personal care, and perform administrative tasks such as scheduling and record-keeping, always striving to foster a positive and constructive approach to treatment and recovery.",0.3
31-2012.00,Occupational Therapy Aides,"Individuals in this role support therapeutic programs by preparing treatment areas and materials, ensuring equipment is ready for use, and maintaining inventory. They assist patients with daily needs, including transportation to and from therapy sessions, and observe their progress, attitudes, and accomplishments, documenting these observations. These professionals communicate patient progress and other relevant information to supervisors and therapists. They may also demonstrate therapy techniques, instruct patients and families on skills and equipment use, and help adapt devices or environments. Additionally, they manage infection control, perform clerical duties like scheduling appointments, and maintain the security of equipment.",0.15
31-2021.00,Physical Therapist Assistants,"Professionals in this role directly assist patients by guiding them through prescribed exercises and functional activities, ensuring their safety and motivation. They meticulously observe patient responses and progress during treatments, documenting findings and communicating this data to supervising staff. This involves administering various therapeutic techniques, applying modalities, and assisting patients with mobility challenges, including transport and the use of supportive devices. They also measure key physical indicators to assess treatment effectiveness and prepare patients for the use of specialized equipment. Collaboration with colleagues and caregivers is essential for treatment planning and modification, alongside maintaining equipment and the treatment environment. Clerical tasks are also part of their responsibilities.",0.17
31-2022.00,Physical Therapist Aides,"Professionals in this role prepare treatment areas and assist patients under the guidance of licensed medical staff. They meticulously clean and organize workspaces, ensuring all equipment is disinfected and properly maintained for patient use. Responsibilities include helping patients get on or off treatment equipment, assisting them with exercises, and providing support during functional activities. They observe patient progress, documenting responses and reporting findings to supervisors. Additionally, they manage scheduling, handle clerical duties like inventory and ordering supplies, and ensure patients are transported safely to and from treatment sessions. They also help patients with dressing and the use of supportive devices.",0.15
31-9011.00,Massage Therapists,"Individuals in this role engage with clients to understand their health concerns, focusing on stress, pain, and physical conditions. They assess soft tissue, joint function, and muscle strength, then apply various massage techniques to alleviate discomfort, aid recovery, or promote general wellness. This involves interpreting client needs, developing personalized treatment strategies, and executing therapeutic maneuvers. They maintain detailed records of sessions and client progress. Additionally, they may offer guidance on posture, exercises, and relaxation, and collaborate with other healthcare professionals to ensure comprehensive client care. Some also prepare specialized blends for application and ensure their work environment remains clean and stocked.",0.17
31-9091.00,Dental Assistants,"Individuals in this role provide support during patient care by preparing treatment areas, sterilizing equipment, and setting up instrument trays. They assist healthcare providers during procedures, manage patient records, and communicate important aftercare instructions. This involves interacting with patients to gather information, explain procedures, and educate them on health practices. Additionally, they handle administrative tasks such as scheduling appointments, managing billing information, and maintaining inventory of supplies and equipment. They may also take diagnostic images and apply protective treatments. This role requires careful monitoring of materials and patient status, along with clear communication to ensure effective and safe care delivery.",0.155
31-9092.00,Medical Assistants,"Professionals in this role manage both administrative and clinical responsibilities to support patient care. They meticulously record patient histories, vital signs, and test results, ensuring accurate documentation. Clinically, they prepare patients for examinations, administer medications and injections, draw blood, and collect specimens for laboratory analysis. They also explain treatment procedures and physician instructions, making sure patients understand their care plans. Administratively, they schedule appointments, manage medical records, answer inquiries, and handle billing and insurance forms. They maintain sterile environments, manage supplies, and operate diagnostic equipment, all under the guidance of a physician, ensuring smooth operations and effective patient support.",0.35
31-9093.00,Medical Equipment Preparers,"Professionals in this role are responsible for ensuring that essential equipment is ready for use. They meticulously clean and prepare instruments, then sterilize them using specialized equipment, carefully documenting each step and test result. Their duties involve inspecting equipment for any signs of damage or malfunction, reporting issues promptly to supervisors, and maintaining detailed records of equipment usage and inventory levels. They also assemble instrument trays and restock supplies to meet ongoing demands. A key part of their day includes monitoring equipment operations to guarantee it functions within prescribed standards and checking supplies for expiration dates to ensure safety and efficacy.",0.15
31-9094.00,Medical Transcriptionists,"Professionals in this role meticulously listen to audio recordings of medical information dictated by healthcare providers. They accurately transcribe these dictations, which include patient histories, examinations, and operational reports, into written documents. A key responsibility involves carefully reviewing and editing the transcribed material for errors in spelling, grammar, and medical terminology, ensuring clarity and consistency. They often consult various resources to verify medical terms and expand abbreviations. These professionals also manage and organize medical records, ensuring all essential information is accurately captured and formatted for review, signature, and inclusion in patient files. They may also perform related clerical duties to support record-keeping processes.",0.53
31-9095.00,Pharmacy Aides,"Individuals in this role are responsible for managing the intake and organization of delivered goods. They meticulously record incoming merchandise, ensure proper storage conditions, and identify items needing replenishment by monitoring inventory levels. When stock is low, they promptly inform their supervisor. They also handle customer interactions, which may include assisting them with locating items or processing transactions using a cash register. Additionally, they accept items for further processing, collect necessary details, and communicate with colleagues or supervisors to address inquiries or resolve issues. Maintaining a clean and organized workspace is also a key part of their daily duties.",0.15
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,"Individuals in this role provide essential care for animals and support laboratory operations. Daily activities involve preparing and distributing food and water, and closely observing animals for any signs of distress, illness, or injury. They maintain sanitary conditions by cleaning and disinfecting living spaces, equipment, and work areas. Responsibilities include administering prescribed medications, assisting with routine medical treatments, and preparing diagnostic samples. These professionals meticulously document animal health records, breeding information, and behavioral observations. They also manage supplies, sterilize instruments, and may interact with clients regarding animal care, nutrition, or behavior, all while ensuring a safe and healthy environment for the animals under their charge.",0.14
31-9097.00,Phlebotomists,"Professionals in this role collect biological samples, primarily by drawing blood from individuals using various venipuncture methods. They meticulously prepare collection sites and equipment, ensuring sterility and adherence to protocols. After collection, they accurately label and process specimens, often entering related data into computer systems. They may also perform basic tests directly on samples, such as for iron levels. Communication is key, as they explain procedures to individuals, provide reassurance, and sometimes assist those experiencing adverse reactions. Maintaining a clean and organized workspace, proper disposal of biohazardous materials, and accurate documentation are critical daily responsibilities. They may also educate colleagues on collection techniques.",0.15
31-9099.01,Speech-Language Pathology Assistants,"Professionals in this role support specialists in addressing communication and swallowing difficulties. They execute treatment plans, implement designated activities, and assist in screening or assessment processes. Day-to-day activities involve closely monitoring individuals' progress, documenting performance data, and preparing reports or visual aids to showcase achievements. They also select and ready instructional materials, manage records, and ensure necessary supplies are available. These individuals collaborate with specialists by preparing documentation, assisting with therapeutic exercises, and ensuring smooth operations of support duties. Their work focuses on facilitating communication skills and supporting the overall treatment objectives.",0.2249999999999999
31-9099.02,Endoscopy Technicians,"This role involves preparing and maintaining specialized equipment and instruments for medical procedures, ensuring a sterile environment is upheld. Individuals in this role meticulously clean, disinfect, and calibrate equipment according to established guidelines. They actively support medical professionals by assisting during procedures, monitoring patient vital signs, and positioning patients as directed. Responsibilities also include collecting specimens, performing safety checks on equipment, and managing inventories of supplies and instruments. Continuous learning is essential, requiring individuals to stay updated on advancements and share this knowledge with colleagues. Some may also be involved in basic equipment maintenance and repair to ensure optimal functionality.",0.2249999999999999
33-1011.00,First-Line Supervisors of Correctional Officers,"These professionals oversee and coordinate the daily activities of subordinate personnel responsible for maintaining security and order. They ensure that rules and regulations are followed, monitor inmate behavior, and respond to emergencies. A significant part of their role involves supervising the work of their teams, which can include tasks like inmate counts, searches for contraband, and the escort of individuals. They also manage administrative duties, such as preparing reports, scheduling staff, and conducting performance evaluations. Additionally, they provide instruction and training to their staff, resolve conflicts among inmates, and enforce policies. Their responsibilities extend to ensuring the safety and welfare of both inmates and staff within their assigned areas.",0.14
33-1012.00,First-Line Supervisors of Police and Detectives,"These professionals oversee and coordinate the daily activities of their teams, ensuring operations run smoothly and efficiently. They assign tasks, prepare schedules, and manage personnel resources by monitoring performance, authorizing advancements, and addressing any issues or misconduct. These leaders provide guidance on procedures, explain operational directives, and instruct staff on proper techniques and departmental rules. They also manage important resources, including equipment and records, ensuring everything aligns with established standards and legal requirements. Collaboration with external entities and community engagement are also key aspects of their role, requiring clear communication and representation of their unit's objectives.",0.23
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,"These individuals oversee and coordinate the actions of firefighting and prevention personnel. They assess situations, making critical decisions about resource allocation and crew deployment during emergencies. This involves communicating vital information, ensuring personnel are properly trained in various response techniques, and evaluating their performance. They also manage equipment, ensuring it is maintained and ready for use, and may recommend modifications or new purchases. Additionally, they oversee administrative tasks, maintain records, and participate in developing safety guidelines and evacuation plans. Their role includes ensuring compliance with regulations and directing investigations into fire-related incidents, while also scheduling work and monitoring expenditures.",0.24
33-1091.00,First-Line Supervisors of Security Workers,"These professionals oversee and coordinate the activities of security personnel. Their day-to-day involves assigning individuals to posts and patrols, ensuring adherence to procedures, and monitoring performance. They investigate disturbances, respond to emergencies by contacting necessary services, and ensure premises are secure by controlling access and patrolling. A significant part of their role includes training staff on protective measures, emergency protocols, and organizational policies. They also handle the recruitment and hiring of new security team members. Documentation through report writing and maintaining logs of distributed items are regular duties. Additionally, they manage and inspect security equipment to ensure proper functionality and may develop security policies.",0.2
33-2011.00,Firefighters,"Respond to emergency calls by assessing situations, controlling and extinguishing fires, and rescuing individuals from dangerous environments. This involves operating specialized equipment, maintaining clear communication with superiors and dispatchers, and collaborating effectively with team members. Actions include preparing sites for entry, ventilating structures, and protecting property from further damage. Following extinguishment, thorough inspections are conducted to prevent re-ignition. Maintaining physical fitness, cleaning and repairing equipment, and educating the public on safety are also key responsibilities. This role requires critical thinking to solve complex problems under pressure and make sound judgments to ensure safety and mitigate risks.",0.18
33-2021.00,Fire Inspectors and Investigators,"Individuals in this role systematically evaluate structures and properties to identify potential fire hazards and ensure adherence to established safety regulations. They meticulously examine buildings, looking for violations such as improper material storage or blocked exits. When fires or explosions occur, they conduct thorough investigations, carefully collecting and analyzing evidence, including physical debris and residue, to determine the origin and cause. Their work involves documenting findings through detailed reports and photographs, sometimes coordinating with other agencies and providing expert testimony in legal proceedings. They also play a role in public education, teaching fire safety and prevention, and may review building plans to ensure future compliance.",0.27
33-2022.00,Forest Fire Inspectors and Prevention Specialists,"Professionals in this field regularly patrol areas to identify potential fire hazards and monitor weather conditions, documenting findings. They enforce regulations concerning forest use, sanitation, and fire prevention, sometimes restricting public access during critical periods. These specialists conduct inspections of forest tracts, logging sites, and campsites to ensure compliance and recommend preventative measures for accumulated waste or mishandling of combustibles. They also inspect and maintain firefighting equipment, documenting inventory and condition, and may requisition new supplies. Furthermore, they are responsible for educating the public on fire safety and delivering training on firefighting techniques. During active fires, they may relay crucial information, estimate fire characteristics, and coordinate responses.",0.26
33-3011.00,Bailiffs,"Individuals in this role maintain order and provide security within court facilities. They actively monitor proceedings, enforce rules of behavior, and ensure the safety of judges, jury members, and the public. This involves screening individuals and items entering the building to detect unauthorized materials. They escort individuals in custody and guard prisoners during court sessions, preventing unauthorized contact and maintaining secure environments. Additionally, they may assist the public with directions and ensure courtrooms are adequately supplied and secure before and during proceedings. They are responsible for identifying security risks and reporting the need for assistance, making critical decisions to uphold the integrity of the legal process.",0.39
33-3012.00,Correctional Officers and Jailers,"Individuals in this role are responsible for maintaining order and security within correctional facilities. They meticulously monitor prisoner behavior and activities, ensuring adherence to established rules and procedures to prevent escapes or disturbances. This involves conducting regular head counts, inspecting security features like locks and gates, and searching individuals and cells for unauthorized items. They document prisoner information, incidents, and daily logs, and may escort prisoners to various locations. Additionally, they manage disputes among prisoners, facilitate communication, and coordinate daily schedules for inmates, including work and visitation. They also handle logistical tasks such as serving meals or issuing supplies, and may provide basic counseling and respond to inquiries.",0.14
33-3021.00,Detectives and Criminal Investigators,"These professionals conduct investigations to address suspected violations of laws. They meticulously examine crime scenes, noting and documenting evidence such as footprints, tire tracks, and stains. They collect and preserve evidence, including fingerprints, ensuring proper handling and analysis. Investigators interview and obtain statements from complainants, witnesses, and suspects, using critical thinking to assess information. They analyze reports, examine records, and collaborate with other agencies to gather intelligence on suspects. Based on findings, they determine the scope of investigations, identify necessary evidence, and prepare reports detailing their conclusions. They also prepare charges, serve warrants, and may participate in arrests, while meticulously documenting all progress and submitting findings.",0.23
33-3021.02,Police Identification and Records Officers,"Professionals in this role are responsible for meticulously documenting and preserving evidence. They carefully examine scenes, using specialized techniques to identify and collect trace evidence like fingerprints. They photograph scenes and evidence, ensuring clear visual records. Maintaining detailed logs and reports is crucial, requiring accurate written documentation of findings and procedures. This involves classifying and processing collected materials, often using specific chemicals and equipment. They collaborate with colleagues and legal professionals, sharing information and providing technical advice. Furthermore, they prepare and store evidence for legal proceedings, which may include testifying in court and presenting their findings. This work requires careful attention to detail, adherence to strict protocols, and effective communication skills.",0.23
33-3021.06,Intelligence Analysts,"Individuals in this role systematically collect and evaluate information from diverse sources, including databases and public records, to identify patterns and trends. They analyze data to understand activities, establish connections between individuals and organizations, and map out relationships. A key responsibility involves synthesizing findings into comprehensive reports, presentations, charts, or maps. They collaborate with colleagues and representatives from other entities to share insights and coordinate efforts. Using this analysis, they anticipate future activities and potential threats. This work requires careful monitoring, critical thinking, and clear communication to present findings and inform decision-making processes. They also manage and utilize data systems to support their analytical work.",0.23
33-3031.00,Fish and Game Wardens,"Individuals in this role patrol designated areas to ensure compliance with regulations. They investigate reports of violations and damage to property. A significant part of their work involves protecting wildlife and natural environments. They compile and analyze biological data, document their findings, and may issue warnings or citations. Additionally, they often educate the public on conservation and regulations. They may also collaborate with other law enforcement agencies and participate in search and rescue operations. Their responsibilities include seizing illegal items, arranging for the disposition of confiscated wildlife, and recommending adjustments to management programs and regulations to maintain ecological balance.",0.2
33-3041.00,Parking Enforcement Workers,"Individuals in this role patrol assigned areas, either on foot or by vehicle, to monitor compliance with parking regulations. They identify vehicles that are parked improperly and issue citations or warnings as necessary. Communication is key, as they use electronic devices to access vehicle information, respond to dispatch calls via radio or phone, and relay information about violations. They also provide guidance to the public on parking rules and directions. Maintaining equipment, reporting hazardous conditions, and preparing records are regular duties. In some cases, they arrange for towing and may appear in court for contested citations. They also perform basic vehicle checks and, when needed, assist in training new staff or controlling traffic.",0.2
33-3051.00,Police and Sheriff's Patrol Officers,"These professionals maintain public order and safety by enforcing laws and ordinances. They patrol assigned areas, respond to calls for assistance, and investigate suspicious activities, accidents, and potential violations. Their duties include directing traffic, issuing citations, and apprehending suspects, often involving communication with dispatchers and other personnel. They document incidents by recording facts and preparing reports, and may provide first aid. They also interact with the public, sometimes informing them of services or conducting educational programs. In legal proceedings, they may present evidence or act as witnesses, and serve legal documents or escort individuals in custody.",0.23
33-3051.04,Customs and Border Protection Officers,"Professionals in this role meticulously examine individuals, conveyances, and goods to ensure adherence to regulations. They review travel documents, interview travelers to assess admissibility and eligibility for entry, and inspect baggage and cargo for prohibited items or undeclared goods. When violations are identified, they detain individuals and secure illicit items, initiating legal proceedings or collecting applicable duties and taxes. These individuals explain complex rules to stakeholders, maintain detailed records of inspections and findings, and may provide testimony in legal settings. Their work involves critical thinking, careful observation, and clear communication to uphold compliance and security standards.",0.23
33-3052.00,Transit and Railroad Police,"Individuals in this role actively patrol assigned areas, observing and monitoring for potential security issues, property damage, or rule violations. They conduct regular security checks and respond to incidents, such as theft, accidents, or disturbances, to maintain order and ensure safety. This often involves investigating incidents, gathering information, and preparing detailed reports on activities and findings. They may apprehend individuals who trespass or engage in illegal activities, or coordinate with other agencies for such actions. A significant part of the role includes enforcing regulations, managing security during emergencies, and sometimes educating the public or colleagues on safety and security protocols.",0.14
33-9011.00,Animal Control Workers,"Professionals in this role investigate reports of animal neglect, abuse, or attacks, gathering evidence and interviewing individuals to assess situations. They respond to public inquiries and educate people about animal welfare and regulations. A significant part of their work involves capturing and safely transporting stray, dangerous, or unattended animals using specialized equipment. They examine animals for injuries or illness, providing necessary medical care or arranging for it. Responsibilities also include maintaining detailed records of activities, impoundments, and animal dispositions, as well as facilitating adoptions for unclaimed animals. They may also issue warnings or citations for violations and prepare evidence for legal proceedings when necessary.",0.2
33-9021.00,Private Detectives and Investigators,"Professionals in this field gather, analyze, and compile information for clients, often focusing on individuals or organizations. They may investigate potential unlawful acts or rule infractions. Day-to-day activities involve searching various databases and public records, as well as conducting interviews and surveillance to collect evidence. They meticulously document findings in reports and may testify in legal proceedings. Decision-making relies on critical thinking and problem-solving to piece together complex scenarios. Collaboration occurs when conferring with officials or other relevant parties to clarify issues or exchange information. The core responsibility is to provide clients with accurate, well-supported findings derived from thorough investigations and careful analysis.",0.39
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,"Professionals in this role meticulously observe operations, utilizing various monitoring tools to detect irregularities and ensure compliance with established guidelines. They meticulously review recorded activities and maintain detailed logs of their observations. A key part of their day involves identifying potential threats to assets and promptly reporting any violations or suspicious behaviors to supervisors through written or verbal communication. They also assess the functionality of surveillance equipment to ensure it operates correctly. Furthermore, they may be responsible for training new observers and acting as security liaisons for both management and individuals within the establishment. This requires keen attention to detail, critical thinking, and effective communication.",0.295
33-9032.00,Security Guards,"Professionals in this role maintain safety and security by monitoring premises and people. They patrol areas, inspect facilities, and control access, ensuring only authorized individuals enter or leave. Responsibilities include responding to alarms and disturbances, investigating irregularities, and taking appropriate action, such as warning individuals or alerting emergency services. They document daily activities and any incidents observed, including property damage or unusual occurrences. This often involves operating surveillance and detection equipment to identify potential threats or prohibited items. Additionally, they may administer basic aid during emergencies or assist in evacuating individuals from hazardous situations, always prioritizing the preservation of order and protection of property.",0.2
33-9091.00,Crossing Guards and Flaggers,"These professionals manage the movement of pedestrians and vehicles, ensuring safe passage in various settings. They observe traffic patterns to identify opportune moments for individuals to cross, actively directing both vehicular and foot traffic using visual cues and signals. They communicate rules and warnings to ensure understanding and adherence, often coordinating with others to report any unsafe conditions or rule violations. This involves making prompt decisions based on real-time observations to maintain order and prevent accidents, requiring keen attention and clear communication.",0.2
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Individuals in this role continuously monitor designated recreational areas, observing participants for safety and potential hazards. They actively patrol their assigned zones, ensuring compliance with rules and identifying unsafe conditions or illegal activities. When necessary, they intervene to provide assistance, administer first aid or CPR, and coordinate with emergency services for more serious situations. They also communicate important information regarding weather or safety regulations. Some may maintain specific facilities, such as water quality, or inspect equipment for potential risks. Record-keeping of incidents and conditions is also a part of their duties, alongside instructing participants on safety procedures or activities.",0.2
33-9093.00,Transportation Security Screeners,"Individuals in this role are responsible for conducting thorough screenings of people and their belongings to ensure adherence to established safety regulations. They meticulously inspect carry-on items and baggage using specialized equipment, making critical decisions about whether items warrant further investigation or present potential hazards. When alarms are triggered or suspicious findings arise, they conduct manual searches and detailed examinations. They actively monitor passenger flow, manage access points, and communicate important information to passengers regarding security procedures and item disposition. In situations involving security breaches or potential dangers, they escalate concerns to supervisors or directly contact law enforcement to ensure safety and order.",0.2
33-9099.02,Retail Loss Prevention Specialists,"Professionals in this field are responsible for safeguarding assets and minimizing losses. They actively investigate potential internal and external theft, as well as fraud, by monitoring activities and conducting audits. A key part of their role involves implementing and overseeing procedures designed to reduce property and financial damage. This includes inspecting premises for security risks, ensuring physical security systems are functional, and documenting all incidents and investigations through detailed written reports. They collaborate with various departments and sometimes external agencies to address security concerns, recommend improvements, and ensure compliance with established protocols. They may also train personnel on loss prevention techniques and respond to critical incidents, always making decisions based on thorough analysis and critical thinking.",0.2
35-1011.00,Chefs and Head Cooks,"Individuals in this role oversee and participate in food preparation, ensuring dishes meet established quality and presentation standards. They manage kitchen staff, directing their activities, and providing instruction on cooking techniques and food preparation. Daily responsibilities include monitoring food quality, coordinating schedules, and supervising sanitation practices. They also manage inventory, ordering necessary supplies, and checking deliveries for quality and quantity. Planning menus, calculating costs, and pricing dishes are key aspects of the role, often involving collaboration with others to develop recipes based on ingredient availability and anticipated demand. They may also interact with customers to plan for special events and manage operational records.",0.25
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,"These individuals oversee teams involved in food preparation and service. They guide and train workers on established procedures for food handling, sanitation, and safety. They manage daily operations by assigning tasks, monitoring performance, and ensuring quality standards are met. This includes observing work, evaluating procedures, and providing feedback. They also handle customer interactions, resolve complaints, and manage financial transactions and inventory control. Decisions involve optimizing workflows, addressing operational challenges like waste, and implementing improvements to enhance efficiency and safety. They ensure compliance with standards by inspecting supplies and work areas, and make recommendations for procedural enhancements.",0.215
35-2011.00,"Cooks, Fast Food","Individuals in this role prepare and cook a limited range of food items according to specific recipes and customer orders. They receive instructions verbally or from order slips, measure ingredients, and operate specialized cooking equipment. Responsibilities include washing and preparing food, cooking items in batches or to order, and ensuring quality and quantity standards are met. They also manage food inventory, maintain cleanliness of work areas and equipment, and may serve orders or take payments. Coordinating cooking times with others and adhering to safety and sanitation guidelines are key daily activities.",0.18
35-2012.00,"Cooks, Institution and Cafeteria","Individuals in this role are responsible for preparing and cooking substantial quantities of food. They meticulously follow menus and specific dietary requirements, ensuring food safety by monitoring and recording temperatures. This involves managing inventory, requisitioning supplies, and storing them properly. They also clean and maintain cooking equipment and workspaces to ensure hygiene and functionality. Portioning and serving food to consumers are key duties, alongside washing cooking utensils and equipment. They may also bake various items and are expected to train and supervise any assistants involved in meal preparation and service, contributing to efficient kitchen operations and quality food delivery.",0.18
35-2013.00,"Cooks, Private Household","Individuals in this role are responsible for planning and preparing meals to meet specific household needs and dietary restrictions. They select and purchase ingredients and supplies, ensuring kitchens and equipment are well-maintained and organized. Daily activities include cooking a variety of dishes, baking, and sometimes creating elaborate meals for special events or exploring new culinary ideas. They manage food inventory, keep financial records, and package and label food for future use, providing reheating instructions. Their duties also extend to serving meals and snacks, and occasionally directing overall kitchen operations and food presentation, all while adhering to personal preferences and specific recipes. Careful attention to quality control and time management is essential.",0.18
35-2014.00,"Cooks, Restaurant","These individuals are responsible for preparing and cooking a wide variety of food items. They carefully measure, mix, and combine ingredients according to established recipes or their own judgment. Cooking methods include baking, roasting, broiling, steaming, and frying, with constant attention paid to temperature and cooking duration to ensure food is thoroughly cooked and safe to eat. They also focus on presentation, arranging and garnishing dishes before serving. Maintaining cleanliness and proper storage of ingredients to ensure freshness are daily duties. In some roles, they may also supervise kitchen staff, manage inventory, or assist colleagues during busy periods to ensure smooth operations.",0.18
35-2015.00,"Cooks, Short Order","Individuals in this role prepare and cook a variety of food items to order, focusing on dishes that require brief preparation times. They often take customer orders directly and may serve patrons at counters or tables. Responsibilities include grilling, frying, and performing various food preparation tasks like making sandwiches, salads, or brewing beverages. A key aspect involves coordinating the cooking process to ensure all components of an order are ready simultaneously. Additionally, they maintain cleanliness in both food preparation areas and dining spaces, manage kitchen supplies by restocking and rotating stock, and ensure food safety by properly dating and storing items. Adherence to customer specifications and efficient time management are crucial for successful order fulfillment.",0.18
35-2021.00,Food Preparation Workers,"Individuals in this role are responsible for a wide range of food preparation tasks, excluding cooking. They meticulously clean and sanitize work areas, equipment, and utensils to maintain hygiene standards. Their day involves preparing ingredients by washing, peeling, and slicing various food items, and assembling dishes like salads and sandwiches according to specific instructions or orders. They also manage food storage, ensuring items are properly stocked and temperatures are monitored. These workers assist culinary staff by providing necessary items and maintaining the readiness of service areas, such as salad bars. Additionally, they handle beverage preparation, dishwashing, and general upkeep of the kitchen environment, including waste disposal.",0.13
35-3011.00,Bartenders,"Professionals in this role prepare and serve a variety of beverages. They interact directly with patrons or coordinate with serving staff to take drink orders. Key responsibilities include mixing ingredients to create cocktails and other drinks, ensuring responsible service by verifying age and managing situations involving excessive consumption. They maintain the bar area by stocking supplies, cleaning equipment and glassware, and arranging displays. Financial tasks involve collecting payments and balancing receipts. They also contribute creatively by developing new drink recipes and preparing garnishes. Upholding service standards and managing operational flow are central to their daily activities.",0.26
35-3023.00,Fast Food and Counter Workers,"Individuals in this role interact directly with customers to receive and fulfill orders, often operating a service counter. They accurately record requests, calculate costs, and accept payments, ensuring precise change is given and cash drawers are balanced.  A key responsibility involves preparing and serving food and beverages, which may include simple cooking, brewing drinks, or assembling orders according to specifications. Maintaining a clean and sanitary environment is crucial, involving tasks such as washing dishes, sweeping, mopping, and cleaning equipment. They also manage inventory by monitoring supplies and restocking as needed to ensure continuous service availability.",0.24
35-3023.01,Baristas,"These professionals prepare and serve a variety of beverages, primarily focusing on coffee-based drinks, and may also serve prepared food items. They interact with customers by taking orders, describing menu items, and providing product details. Responsibilities include processing customer payments, ensuring work and service areas are clean and organized, and stocking supplies. They also manage food preparation, such as slicing ingredients or wrapping items for sale, and maintain equipment by checking temperatures and ensuring proper functioning. Additionally, they may update product displays, weigh and package items for customers, and create promotional signage. Strong communication and service orientation are key to their daily activities.",0.24
